stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4240,54194,WB LYNN VALLEY RD FS ALLAN RD,LYNN VALLEY RD @ ALLAN RD,49.339963,-123.032893,ZN 99, ,0,
4241,54195,WB LYNN VALLEY RD FS CHURCH ST,LYNN VALLEY RD @ CHURCH ST,49.338478,-123.035659,ZN 99, ,0,
10879,54003,SB MOUNTAIN HWY FS LYNN VALLEY RD,MOUNTAIN HWY @ LYNN VALLEY RD,49.336385,-123.038189,ZN 99, ,0,
4045,54004,SB MOUNTAIN HWY NS E 27 ST,MOUNTAIN HWY @ E 27TH ST,49.333879,-123.037968,ZN 99, ,0,
4015,53974,EB LYNN VALLEY RD FS E 27 ST,LYNN VALLEY RD @ E 27TH ST,49.334201,-123.043346,ZN 99, ,0,
4016,53975,EB LYNN VALLEY RD FS E 29 ST,LYNN VALLEY RD @ E 29TH ST,49.335451,-123.040994,ZN 99, ,0,
4003,53962,NB MOUNTAIN HWY FS FERN ST,MOUNTAIN HWY @ FERN ST,49.311750,-123.032506,ZN 99, ,0,
4119,54077,PHIBBS EXCHANGE BAY 7,PHIBBS EXCHANGE @ BAY 7,49.305786,-123.028859,ZN 99, ,0,
1762,51748,WB OXFORD ST NS MOUNTAIN HWY,OXFORD ST @ MOUNTAIN HWY,49.306043,-123.031375,ZN 99, ,0,
1763,51749,NB MOUNTAIN HWY FS CROWN ST,MOUNTAIN HWY @ CROWN ST,49.309147,-123.031975,ZN 99, ,0,
4004,53963,WB E KEITH RD NS MOUNTAIN HWY,E KEITH RD @ MOUNTAIN HWY,49.313331,-123.037246,ZN 99, ,0,
4274,54227,NB ARBORLYNN DR FS MOUNTAIN HWY,ARBORLYNN DR @ MOUNTAIN HWY,49.317420,-123.035639,ZN 99, ,0,
4275,54228,NB ARBORLYNN DR AT APPIN RD,ARBORLYNN DR @ APPIN RD,49.319200,-123.034569,ZN 99, ,0,
4276,54229,NB ARBORLYNN DR AT AVONLYNN CRES,ARBORLYNN DR @ AVONLYNN CRES,49.321842,-123.032395,ZN 99, ,0,
674,50667,NB ALMA ST FS W BROADWAY,ALMA ST @ W BROADWAY,49.264644,-123.185714,ZN 99, ,0,
11002,61143,SPANISH BANKS LOOP,BUS STOP @ SPANISH BANKS LOOP,49.276328,-123.215494,ZN 99, ,0,
354,50350,EB W 4 AVE AT 4100 BLOCK,W 4 AVE @ 4100 BLOCK,49.268679,-123.197617,ZN 99, ,0,
355,59298,EB W 4 AVE FS DIEPPE LANE,W 4 AVE @ DIEPPE LANE,49.268579,-123.193151,ZN 99, ,0,
356,50352,EB W 4 AVE FS WALLACE ST,W 4 AVE @ WALLACE ST,49.268520,-123.190183,ZN 99, ,0,
360,50356,SB ALMA ST FS W 6 AVE,ALMA ST @ W 6 AVE,49.266552,-123.185921,ZN 99, ,0,
359,50355,SB ALMA ST FS W 4 AVE,ALMA ST @ W 4 AVE,49.268214,-123.185850,ZN 99, ,0,
